match_id,team1_champ_kills,team1_baron_kills,team1_drag_kills,team1_herald_kills,team1_tower_kills,team1_inhib_kills,team1_total_gold,team1_total_dmg,team1_win,team2_champ_kills,team2_baron_kills,team2_drag_kills,team2_herald_kills,team2_tower_kills,team2_inhib_kills,team2_total_gold,team2_total_dmg,team2_win
NA1_4483113790,15,0,1,2,2,0,39804,46021,1,11,0,1,0,1,0,34135,35102,0
NA1_4479019847,44,2,2,2,9,1,70457,105986,1,26,0,1,0,2,0,54564,67028,0
NA1_4446476783,7,0,0,1,1,0,26115,32100,0,20,0,2,0,3,0,32752,37224,1
NA1_4511030500,30,1,3,2,9,1,58437,86769,1,16,0,0,0,1,0,44930,49208,0
NA1_4468860918,20,0,1,2,2,0,50589,93187,0,34,1,3,0,10,2,62969,99975,1
NA1_4478446806,15,0,1,1,3,0,52262,65273,0,25,0,4,1,9,1,64216,75405,1
NA1_4486578485,16,0,0,0,3,0,47543,62605,0,29,1,4,2,7,1,59350,75420,1
NA1_4414301578,35,1,3,2,7,0,83010,151759,0,37,2,4,0,9,3,89229,161199,1
NA1_4441854754,31,0,1,1,4,0,43739,59472,1,15,0,1,0,0,0,32300,54852,0
NA1_4464759737,19,0,0,2,2,0,52175,91611,0,39,1,4,0,9,2,65258,98523,1
NA1_4469350873,52,0,3,0,5,1,85201,177548,0,53,2,3,2,11,4,90386,177520,1
NA1_4496619178,27,1,1,2,9,2,53828,99902,1,19,0,2,0,0,0,42410,63047,0
NA1_4467583527,41,1,3,1,6,1,88093,234751,0,32,1,3,1,10,1,86795,218557,1
NA1_4421635600,13,0,2,1,2,0,34075,40324,0,26,0,0,1,3,0,41035,63998,1
NA1_4415827495,24,0,2,1,3,0,53927,91151,0,39,2,2,1,9,1,70261,102074,1
NA1_4468343854,5,0,0,0,0,0,31172,38294,0,23,0,2,2,9,2,47615,65035,1
NA1_4497903294,23,1,2,2,7,3,70902,134879,0,33,2,4,0,6,0,76639,140345,1
NA1_4510679618,15,0,0,1,2,0,36165,48312,0,29,0,2,1,3,0,41137,70067,1
NA1_4491516807,29,0,1,1,5,0,38555,52592,1,9,0,0,0,0,0,26270,36025,0
NA1_4471054416,20,0,1,0,1,0,49894,78760,0,47,1,3,2,10,2,67095,112817,1
NA1_4476996467,26,0,0,2,4,0,55388,86974,0,36,1,4,0,11,2,66033,93262,1
NA1_4480473547,10,0,0,1,1,0,39828,45016,0,27,1,3,1,9,1,53912,70486,1
NA1_4423954312,31,2,0,2,10,3,70018,106594,1,25,0,4,0,3,0,59807,101711,0
NA1_4468411809,30,0,2,0,4,0,46310,64744,1,12,0,0,2,1,0,36325,44362,0
NA1_4492766044,23,0,1,0,1,0,43332,66774,0,41,1,2,1,11,2,61692,97817,1
NA1_4491069120,0,0,0,0,0,0,2626,137,0,0,0,0,0,0,0,2542,75,1
NA1_4507697951,20,0,1,0,2,0,44684,54529,0,38,0,1,1,6,0,55416,95077,1
NA1_4487527667,11,0,0,1,2,0,46973,48163,0,24,1,3,0,7,2,57320,67738,1
NA1_4491564083,26,0,2,2,8,1,42749,51625,1,7,0,1,0,0,0,30323,40269,0
NA1_4480636154,16,0,1,0,1,0,44354,65976,0,25,1,2,2,10,1,55530,85653,1
NA1_4445908305,26,0,1,1,3,0,48224,70580,0,39,1,2,1,6,1,58826,94240,1
NA1_4455735385,26,1,2,1,8,1,71194,89871,0,38,1,3,1,7,2,74272,123034,1
NA1_4431179559,31,0,3,1,7,1,52218,79447,1,16,0,0,1,3,0,45725,54323,0
NA1_4442099543,9,0,0,1,0,0,26951,30945,0,21,0,1,0,1,0,32801,38156,1
NA1_4458369210,14,0,1,2,1,0,30984,30010,1,5,0,1,0,0,0,24165,24797,0
NA1_4477878687,43,1,3,2,9,1,62933,115077,1,18,0,0,0,4,0,50031,74176,0
NA1_4499864169,31,1,2,2,6,1,55858,71932,1,22,0,1,0,2,0,47521,63796,0
NA1_4468031608,36,0,1,2,6,0,50534,80063,1,22,0,1,0,1,0,40633,61844,0
NA1_4492999853,22,0,3,1,7,1,47697,53584,1,10,0,0,1,0,0,33188,35489,0
NA1_4476285954,12,0,0,0,2,0,41469,67388,0,41,1,2,2,8,2,57835,83832,1
NA1_4487571042,11,0,0,1,4,0,37108,41961,0,25,0,2,1,8,1,45345,48523,1
NA1_4483084974,10,0,0,1,0,0,37071,59998,0,28,1,3,1,8,0,50977,62553,1
NA1_4472177877,35,1,2,0,4,0,64335,120638,1,31,0,2,1,4,0,61233,83847,0
NA1_4465564477,26,0,1,1,3,0,36001,45591,1,11,0,0,0,1,0,27646,33750,0
NA1_4490064969,36,1,4,0,5,0,68254,129601,0,35,0,1,2,8,1,72583,152335,1
NA1_4451285714,42,1,2,1,9,2,66669,136597,1,25,0,2,0,4,0,59933,99055,0
NA1_4491212340,39,1,3,1,8,1,63985,101657,1,28,0,0,1,2,0,53761,94343,0
NA1_4487904400,23,0,2,0,4,0,48786,80561,0,33,1,1,2,7,1,59054,106149,1
NA1_4465679338,15,0,1,0,5,0,43478,55115,0,27,1,2,2,9,2,52097,62424,1
NA1_4491766692,5,0,1,0,0,0,24466,18794,0,14,0,0,1,3,0,31692,27357,1
NA1_4467683802,18,0,2,1,4,0,55498,69380,0,24,2,2,1,7,1,63900,72737,1
NA1_4498520595,24,0,1,1,4,0,59247,86220,0,44,1,3,1,11,3,64705,107839,1
NA1_4478717168,38,0,2,2,5,0,47791,67086,1,11,0,1,0,2,0,36543,40491,0
