match_id,team1_champ_kills,team1_baron_kills,team1_drag_kills,team1_herald_kills,team1_tower_kills,team1_inhib_kills,team1_total_gold,team1_total_dmg,team2_champ_kills,team2_baron_kills,team2_drag_kills,team2_herald_kills,team2_tower_kills,team2_inhib_kills,team2_total_gold,team2_total_dmg
NA1_4447592729,9,0,2,0,3,0,36733,,18,0,0,1,4,0,41741,
NA1_4452827587,16,0,0,0,2,0,40333,,22,0,1,2,3,0,43092,
NA1_4477918900,21,0,3,0,3,0,43913,,14,0,0,2,1,0,38587,
NA1_4449550293,21,0,2,2,7,1,46505,,11,0,0,0,0,0,37071,
NA1_4471096469,10,0,0,1,0,0,26462,,17,0,2,0,2,0,33662,
NA1_4482073494,14,0,0,2,3,0,39569,,7,0,3,0,1,0,35610,
NA1_4509674385,22,0,0,0,3,0,43568,,14,0,2,1,2,0,38609,
NA1_4417204370,11,0,0,1,0,0,31792,,25,0,2,1,5,0,43643,
NA1_4453335693,13,0,1,2,2,0,36454,,8,0,0,0,2,0,36561,
NA1_4491289739,21,0,0,1,4,0,44967,,18,0,2,1,2,0,41260,
NA1_4498531134,22,0,0,2,5,1,44029,,15,0,2,0,0,0,40488,
NA1_4457850765,7,0,0,0,0,0,32254,,13,0,3,2,2,0,37259,
NA1_4504576724,27,0,2,1,5,0,42036,,7,0,0,0,0,0,26983,
NA1_4453771854,11,0,0,0,0,0,27843,,33,0,2,2,8,1,44177,
NA1_4481843029,24,0,1,1,5,0,42948,,22,0,1,0,2,0,40770,
NA1_4491266855,12,0,1,0,1,0,37211,,17,0,2,2,4,0,43763,
NA1_4479996614,9,0,0,2,2,0,35072,,15,0,2,0,1,0,37723,
NA1_4483996668,14,0,1,0,0,0,33503,,20,0,1,2,5,0,44150,
NA1_4480352265,9,0,1,0,0,0,28385,,29,0,0,2,9,1,42394,
NA1_4450631001,15,0,0,2,1,0,41568,,29,0,2,0,9,1,47442,
NA1_4478076612,10,0,0,0,1,0,35628,,19,0,2,2,2,0,43571,
NA1_4470130272,15,0,1,1,4,0,40808,,12,0,1,1,2,0,39171,
NA1_4482808395,20,0,0,1,4,0,42933,,20,0,1,0,0,0,39615,
NA1_4500145264,16,0,2,0,2,0,38567,,6,0,1,2,2,0,35511,
NA1_4486364674,12,0,1,1,2,0,38724,,8,0,2,1,1,0,35145,
NA1_4489160862,19,0,1,2,8,1,43002,,4,0,1,0,0,0,28784,
NA1_4455262837,17,0,1,2,4,0,43152,,12,0,1,0,0,0,36003,
NA1_4488864771,6,0,0,0,0,0,23752,,15,0,1,1,1,0,30487,
NA1_4455230561,20,0,3,0,0,0,38735,,22,0,0,2,5,0,44544,
NA1_4491603027,11,0,1,0,1,0,36789,,26,0,1,2,6,1,47941,
NA1_4450351337,6,0,0,0,0,0,25422,,19,0,2,2,8,1,39256,
NA1_4484574094,27,0,1,0,2,0,44487,,17,0,1,2,4,0,42108,
NA1_4460346141,13,0,3,0,0,0,34546,,9,0,0,2,4,0,38163,
NA1_4482123038,8,0,0,2,1,0,36252,,15,0,2,0,2,0,39320,
NA1_4427972868,23,0,3,2,4,0,45377,,8,0,0,0,2,0,37446,
NA1_4471051935,28,0,2,2,5,0,46711,,14,0,0,0,1,0,37581,
NA1_4478517931,12,0,2,0,2,0,35668,,16,0,0,2,5,0,41890,
NA1_4515218239,27,0,2,1,3,0,45727,,23,0,1,1,1,0,43939,
NA1_4510866521,11,0,2,2,1,0,35487,,19,0,1,0,5,0,46300,
NA1_4471525500,20,0,1,1,3,0,42137,,9,0,1,0,1,0,36375,
NA1_4443776771,16,0,2,2,3,0,41428,,18,0,1,0,3,0,41037,
NA1_4414145457,14,0,1,1,1,0,37987,,11,0,2,1,9,0,41744,
NA1_4493159750,25,0,1,0,3,0,44859,,20,0,0,2,3,0,39994,
NA1_4468140721,20,0,0,2,3,0,42230,,20,0,2,0,4,0,44079,
NA1_4480821724,24,0,0,2,1,0,39076,,29,0,1,0,3,0,45136,
NA1_4465073240,15,0,1,0,2,0,37388,,25,0,1,2,4,0,48599,
NA1_4427928313,6,0,0,0,0,0,34673,,21,0,3,2,6,0,44924,
NA1_4495734184,18,0,0,2,5,0,44500,,16,0,2,0,0,0,37821,
NA1_4513271336,29,0,2,1,4,0,36453,,9,0,0,0,0,0,23246,
NA1_4450868048,6,0,0,0,0,0,25668,,15,0,1,1,2,0,33020,
NA1_4474143908,9,0,0,0,1,0,34717,,25,0,2,2,9,1,50810,
NA1_4419318752,26,0,0,2,6,1,46066,,10,0,2,0,0,0,33908,
NA1_4504882156,15,0,0,2,1,0,36795,,25,0,1,0,4,0,44345,
NA1_4495074689,31,0,3,2,5,0,48777,,9,0,0,0,1,0,33555,
NA1_4480178575,19,0,1,1,4,0,40621,,22,0,1,1,2,0,40167,
NA1_4516426220,12,0,0,0,2,0,36109,,18,0,2,1,2,0,40131,
NA1_4471119949,28,0,1,2,6,0,48347,,19,0,1,0,1,0,42852,
NA1_4484183181,12,0,0,2,1,0,38678,,15,0,1,0,3,0,40140,
NA1_4481946448,18,0,0,1,1,0,39988,,25,0,2,1,4,0,45161,
NA1_4491743825,15,0,2,2,8,1,43979,,6,0,0,0,1,0,32835,
NA1_4487018091,18,0,2,2,4,0,46061,,10,0,1,0,3,0,37192,
NA1_4427871603,9,0,1,1,3,0,39366,,13,0,1,1,3,0,42095,
NA1_4465681216,36,0,2,1,10,2,50815,,14,0,0,1,2,0,38129,
NA1_4427723682,13,0,0,2,2,0,38655,,22,0,2,0,4,0,46395,
NA1_4438686610,9,0,0,0,1,0,28583,,25,0,1,2,10,2,41721,
NA1_4455499050,8,0,0,0,0,0,25678,,19,0,1,1,4,0,37142,
NA1_4505958929,20,0,1,2,6,0,43614,,19,0,2,0,1,0,41577,
NA1_4484597808,16,0,1,1,3,0,38037,,14,0,1,0,3,0,36941,
NA1_4436927299,23,0,0,1,3,0,39872,,20,0,3,0,3,0,43461,
NA1_4458419473,17,0,1,1,2,0,41632,,15,0,1,1,2,0,38933,
NA1_4513835180,23,0,2,1,4,0,39102,,13,0,0,1,0,0,30268,
NA1_4483749741,27,0,2,1,3,0,46536,,20,0,0,0,1,0,40707,
NA1_4478072344,23,0,2,0,4,0,38949,,8,0,0,1,1,0,28747,
NA1_4494615613,21,0,1,1,3,0,41497,,24,0,0,0,5,0,42095,
NA1_4489705508,20,0,2,2,3,0,40436,,11,0,0,0,1,0,37710,
NA1_4480497931,20,0,2,2,9,2,42012,,10,0,0,0,1,0,30478,
NA1_4471046056,25,0,1,1,6,0,47267,,11,0,1,1,1,0,38238,
NA1_4473395375,18,0,1,0,1,0,38019,,34,0,1,2,7,2,53014,
NA1_4479818363,10,0,3,2,5,0,38412,,10,0,0,0,2,0,35196,
NA1_4467140783,10,0,2,0,0,0,37167,,14,0,1,2,3,0,38372,
NA1_4449589271,17,0,1,1,2,0,32615,,8,0,0,0,0,0,25909,
NA1_4494127110,22,0,3,1,3,0,43380,,20,0,0,1,3,0,43158,
NA1_4492403692,14,0,1,0,2,0,38158,,12,0,1,2,2,0,36344,
NA1_4468485596,27,0,2,0,10,2,41082,,11,0,0,1,0,0,28111,
NA1_4473589980,16,0,0,1,2,0,37800,,14,0,1,1,2,0,36803,
NA1_4477437800,25,0,1,2,8,1,44735,,9,0,0,0,1,0,31949,
NA1_4429985763,20,0,2,1,3,0,34257,,9,0,0,0,0,0,26134,
NA1_4513968512,13,0,1,0,1,0,36905,,21,0,1,2,5,0,46508,
NA1_4404632146,20,0,1,1,3,0,40418,,10,0,1,1,0,0,36142,
NA1_4475564927,12,0,0,0,1,0,34586,,22,0,2,2,6,0,47771,
NA1_4481989734,23,0,2,2,5,1,46620,,9,0,0,0,2,0,37764,
NA1_4458479721,18,0,1,0,2,0,41945,,24,0,2,2,4,0,44586,
NA1_4484177763,32,0,2,1,5,0,50564,,17,0,0,0,0,0,40191,
NA1_4513387865,13,0,0,1,2,0,38317,,17,0,3,1,3,0,41083,
NA1_4473837723,19,0,2,2,2,0,41149,,20,0,1,0,4,0,43838,
NA1_4492894165,8,0,0,0,2,0,30400,,28,0,2,2,5,1,43314,
NA1_4513657132,14,0,2,1,1,0,40190,,11,0,0,1,2,0,37608,
NA1_4476094431,10,0,0,2,2,0,37528,,12,0,2,0,2,0,39779,
NA1_4456224214,18,0,0,0,2,0,39549,,27,0,2,2,4,0,45193,
